지진해일대피소명,지진해일대피소구분,지진해일대피소유형,지진해일대피소유형구분,소재지도로명주소,소재지지번주소,위도,경도,수용가능면적,최대수용인원수,지진해일대피소운영상태,지진해일대피소전화번호,부대편의시설,주민대피지구명,주민대피지구내가구수,주민대피지구내거주인수,주민대피지구내재해약자수,내진적용여부,내진설계등급,해안선이격거리,해발높이,지진대피안내표지판수,긴급대피장소안내표지판수,지진대피로안내표지판수,관리기관명,관리기관전화번호,데이터기준일자
광남초등학교,지진대피소,실내구호소,학교,경기도 광주시 고불로46번길 15,경기도 광주시 중대동 16-66번지,37.39406437,127.2304633,2859,200,Y,031-767-2258,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 광주시청,,2022-10-06
광남초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 고불로46번길 15,경기도 광주시 중대동 16-66번지,37.39406437,127.2304633,6648,2014,Y,031-767-2258,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
광명초등학교,지진대피소,실내구호소,학교,경기도 광주시 문형산길 7,경기도 광주시 신현동 365번지,37.35960848,127.1607978,430,200,Y,031-718-8098,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 광주시청,,2022-10-06
광수중학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 퇴촌면 도수길23번길 23,경기도 광주시 퇴촌면 도수리 585번지,37.47319959,127.3195212,4026,1220,Y,031-768-3103,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
광일중학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 도척면 노곡로 32,경기도 광주시 도척면 노곡리 241-2번지,37.3037411,127.3307239,4894,1483,Y,031-762-5013,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
광주 공설운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 파발로 176,경기도 광주시 경안동 123-4번지,37.4151758,127.2520677,12977,3932,Y,031-760-5986,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
광주고등학교,지진대피소,실내구호소,학교,경기도 광주시 수하길19번길 43,경기도 광주시 송정동 35번지,37.41766491,127.2657132,1329,100,Y,031-799-7202,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 광주시청,,2022-10-06
광주고등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 수하길19번길 43,경기도 광주시 송정동 35번지,37.41766491,127.2657132,4544,1377,Y,031-799-7205,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
광주광명초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 문형산길 7,경기도 광주시 신현동 365번지,37.3596078,127.1607978,1520,461,Y,031-718-8098,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
광주중앙고,지진대피소,실내구호소,학교,경기도 광주시 역동로63번길 1,경기도 광주시 역동 30-1번지,37.40347126,127.2579467,887,200,Y,031-799-7307,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 광주시청,,2022-10-06
광주중앙고 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 역동로 57-45,경기도 광주시 역동 145-1번지,37.40285827,127.2564427,6463,1959,Y,031-799-7307,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
광주중학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 경안로42번길 11,경기도 광주시 경안동 45번지,37.40965639,127.2543715,6109,1851,Y,031-761-2255,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
광주초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 중앙로123번길 16-3,경기도 광주시 경안동 36-58번지,37.41005134,127.2563456,5934,1798,Y,031-799-1994,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
광지원초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 남한산성면 회안대로 1386,경기도 광주시 남한산성면 광지원리 209-1번지,37.46389584,127.2517337,1837,557,Y,031-797-0026,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
남종 공설운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 남종면 분원리 100,경기도 광주시 남종면 분원리 100,37.49647669,127.3007817,20055,6078,Y,031-760-4974,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
남한산성 공설운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 남한산성면 상번천리 820,경기도 광주시 남한산성면 상번천리 820,37.44743286,127.2670336,6700,2031,Y,031-760-4982,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
남한산초등학교,지진대피소,옥외대피장소,운동장,경기도 광주시 남한산성면 남한산성로 770,경기도 광주시 남한산성면 산성리 373번지,37.47866621,127.186079,2800,849,Y,031-749-8595,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
도곡초등학교,지진대피소,실내구호소,학교,경기도 광주시 초월읍 경충대로 1033-13,경기도 광주시 초월읍 쌍동리 182번지,37.37087143,127.2996107,416,125,Y,031-766-3187,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 광주시청,,2022-10-06
도곡초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 초월읍 경충대로 1033-13,경기도 광주시 초월읍 쌍동리 182번지,37.37087143,127.2996107,4560,1382,Y,031-766-3187,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
도궁초등학교,지진대피소,실내구호소,학교,경기도 광주시 도척면 도척윗로 270,경기도 광주시 도척면 도웅리 125번지,37.33465294,127.3124887,1125,300,Y,031-762-8139,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 광주시청,,2022-10-06
도궁초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 도척면 도척윗로 270,경기도 광주시 도척면 도웅리 125번지,37.33465294,127.3124887,3900,1182,Y,031-762-5828,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
도수초등학교,지진대피소,실내구호소,학교,경기도 광주시 퇴촌면 도수길 11,경기도 광주시 퇴촌면 도수리 605-1번지,37.47181561,127.318268,3505,500,Y,031-768-1454,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 광주시청,,2022-10-06
도수초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 퇴촌면 도수길 11,경기도 광주시 퇴촌면 도수리 605-1번지,37.47181561,127.318268,3760,1139,Y,031-768-1454,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
도척 그린공원,지진대피소,옥외대피장소,공원,경기도 광주시 도척면 도척로 676,경기도 광주시 도척면 유정리 253번지,37.29456032,127.3273213,29777,9023,Y,031-760-4936,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
도척초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 도척면 노곡로 33,경기도 광주시 도척면 노곡리 223번지,37.30364405,127.3319911,4200,1273,Y,031-760-5020,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
도평초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 초월읍 현산로 89-16,경기도 광주시 초월읍 도평리 219-10번지,37.3964246,127.2893903,3300,1000,Y,031-765-1695,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
매곡초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 양벌로 303-5,경기도 광주시 양벌동 557-1번지,37.37247874,127.2483165,3827,1160,Y,031-765-6416,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
번천초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 남한산성면 해공로 82,경기도 광주시 남한산성면 상번천리 537번지,37.44515386,127.2669494,2277,690,Y,031-761-2974,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
분원초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 남종면 산수로 1642-1,경기도 광주시 남종면 분원리 116번지,37.49625742,127.3034492,3040,921,Y,031-768-8008,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
삼리어린이공원,지진대피소,옥외대피장소,공원,경기도 광주시 곤지암읍 삼리 131-1,경기도 광주시 곤지암읍 삼리 131-1,37.35642214,127.3268078,1493,453,Y,031-760-3714,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
선동초등학교,지진대피소,실내구호소,학교,경기도 광주시 초월읍 산수로 198,경기도 광주시 초월읍 선동리 274-6번지,37.3786961,127.3174947,136,40,Y,031-762-4479,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 광주시청,,2022-10-06
선동초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 초월읍 동막골길 5,경기도 광주시 초월읍 선동리 274-9번지,37.37806785,127.317587,4370,1324,Y,031-762-4479,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
안골소공원,지진대피소,옥외대피장소,공원,경기도 광주시 초월읍 서하리 471-3,경기도 광주시 초월읍 서하리 471-3,37.43496188,127.3070968,700,212,Y,031-760-3714,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
양벌소공원,지진대피소,옥외대피장소,공원,경기도 광주시 오포읍 양벌리 1040-39,경기도 광주시 양벌동 1040-39,37.37090189,127.2484347,1967,596,Y,031-760-3714,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
양벌초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 양벌로 195-15,경기도 광주시 양벌동 290-20번지,37.37920879,127.256197,3216,975,Y,031-798-4910,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
오포 공설운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 양촌길 77,경기도 광주시 매산동 626-6번지,37.37052121,127.242649,13830,4190,Y,031-760-4831,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
오포초등학교,지진대피소,실내구호소,학교,경기도 광주시 추자길 28-7,경기도 광주시 추자동 500번지,37.36109637,127.2155526,636,150,Y,031-766-1455,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 광주시청,,2022-10-06
오포초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 추자길 28-7,경기도 광주시 추자동 500번지,37.36109637,127.2155526,4312,1307,Y,031-766-1455,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
중대물빛공원,지진대피소,옥외대피장소,공원,경기도 광주시 순암로 307,경기도 광주시 중대동 229번지,37.40280546,127.2180808,216247,65529,Y,031-760-3763,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
청석공원,지진대피소,옥외대피장소,공원,경기도 광주시 경안동 242,경기도 광주시 경안동 242,37.41207881,127.2649646,193530,58646,Y,031-760-3762,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
초월1소공원(초월물류),지진대피소,옥외대피장소,공원,경기도 광주시 초월읍 지월리 889,경기도 광주시 초월읍 지월리 889,37.41628686,127.3080203,1461,443,Y,031-760-3714,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
초월2소공원(초월물류),지진대피소,옥외대피장소,공원,경기도 광주시 초월읍 무갑리 913,경기도 광주시 초월읍 무갑리 913,37.41566578,127.3124036,3560,1079,Y,031-760-3714,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
초월초등학교,지진대피소,실내구호소,학교,경기도 광주시 초월읍 산수로 523,경기도 광주시 초월읍 신월리 452-1번지,37.40790375,127.307868,132,40,Y,031-761-1159,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 광주시청,,2022-10-06
초월초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 초월읍 산수로 523,경기도 광주시 초월읍 신월리 452-1번지,37.40790375,127.307868,4567,1384,Y,031-761-1159,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
탄벌소공원,지진대피소,옥외대피장소,공원,경기도 광주시 탄벌동 365-1,경기도 광주시 탄벌동 365-1,37.42096714,127.237741,543,165,Y,031-760-3714,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
탄벌초등학교,지진대피소,실내구호소,학교,경기도 광주시 이배재로 20-12,경기도 광주시 탄벌동 27-44번지,37.4201818,127.2485643,1714,150,Y,031-768-8781,,별도 지구지정사항 없음,,,,적용,,,,1,,,경기도 광주시청,,2022-10-06
탄벌초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 이배재로 20-12,경기도 광주시 탄벌동 27-44번지,37.4201818,127.2485643,4500,1364,Y,031-768-8784,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
태전초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 태봉로 56,경기도 광주시 태전동 241-1번지,37.38887698,127.2271187,4732,1434,Y,031-764-4294,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
퇴촌 공설운동장,지진대피소,옥외대피장소,운동장,경기도 광주시 퇴촌면 광동리 530,경기도 광주시 퇴촌면 광동리 530,37.47269146,127.3015643,16500,5000,Y,031-760-4957,,별도 지구지정사항 없음,,,,미적용,,,,1,,,경기도 광주시청,,2022-10-06
갈매고등학교,지진대피소,실내구호소,학교,경기도 구리시 갈매순환로 75,경기도 구리시 갈매동 653번지,37.627385,127.1176504,544,165,Y,031-524-6000,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2022-06-07
갈매고등학교 운동장,지진대피소,옥외대피장소,학교,경기도 구리시 갈매순환로 75,경기도 구리시 갈매동 653번지,37.62739936,127.1179729,3800,4606,Y,031-524-6000,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2022-06-07
갈매사회복지관,지진대피소,실내구호소,기타,경기도 구리시 갈매순환로 143,경기도 구리시 갈매동 573번지 갈매1단지,37.634826,127.115662,197,60,Y,031-571-1118,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2022-06-07
갈매중앙공원,지진대피소,옥외대피장소,공원,경기도 구리시 산마루로 41,경기도 구리시 갈매동 578번지,37.63110705,127.1185636,8344,10114,Y,031-550-2440,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2022-06-07
갈매중학교 운동장,지진대피소,옥외대피장소,학교,경기도 구리시 갈매순환로 121,경기도 구리시 갈매동 576번지,37.63093843,127.1201177,3000,3636,Y,031-570-7800,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2022-06-07
갈매초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 구리시 갈매중앙로 40,경기도 구리시 갈매동 336번지,37.62822219,127.1159466,2800,3393,Y,031-522-2800,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2022-06-07
교문중학교,지진대피소,옥외대피장소,학교,경기도 구리시 장자대로37번길 15,경기도 구리시 교문동 808-2번지,37.58859086,127.1338727,3984,300,Y,031-553-4890,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2022-06-07
교문초등학교,지진대피소,옥외대피장소,학교,경기도 구리시 안골로19번길 16,경기도 구리시 교문동 732번지,37.598212,127.1335905,5000,1000,Y,031-569-7159,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2022-06-07
구리체육관,지진대피소,실내구호소,체육관,경기도 구리시 체육관로 131,경기도 구리시 교문동 3-2번지,37.59556232,127.1362762,740,300,Y,031-550-2591,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2022-06-07
구리초등학교,지진대피소,옥외대피장소,학교,경기도 구리시 경춘로276번길 51,경기도 구리시 수택동 553번지,37.601215,127.1475991,6300,300,Y,031-551-0546,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2022-06-07
구지초등학교,지진대피소,옥외대피장소,학교,경기도 구리시 건원대로76번길 40,경기도 구리시 인창동 666-3번지,37.607233,127.142221,4173,400,Y,031-562-8555,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2022-06-07
내동마을회관,지진대피소,실내구호소,기타,경기도 구리시 동구릉로389번길 58-9,경기도 구리시 사노동 270-1번지,37.633113,127.1389156,132,60,Y,031-550-2141,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2022-06-07
늘푸른공원,지진대피소,옥외대피장소,공원,경기도 구리시 건원대로34번길 76,경기도 구리시 인창동 674-2번지,37.60450275,127.1448011,10000,12121,Y,031-550-2440,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2022-06-07
동구하늘공원,지진대피소,옥외대피장소,공원,경기도 구리시 건원대로76번길 127,경기도 구리시 인창동 669-1번지,37.60769678,127.1453989,4000,4848,Y,031-550-2440,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2022-06-07
밀알교회,지진대피소,실내구호소,기타,경기도 구리시 코스모스길215번길 96,경기도 구리시 토평동 23-27번지,37.580188,127.1556292,5000,500,Y,031-556-1005,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2022-06-07
백문초등학교,지진대피소,옥외대피장소,학교,경기도 구리시 장자대로13번길 12,경기도 구리시 교문동 808-1번지,37.58859949,127.1327679,5500,300,Y,031-551-0271,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2022-06-07
부양공원,지진대피소,옥외대피장소,공원,경기도 구리시 체육관로74번길 62,경기도 구리시 수택동 854-1번지,37.59079202,127.1415155,6470,7842,Y,031-550-2440,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2022-06-07
산마루초등학교,지진대피소,실내구호소,학교,경기도 구리시 갈매순환로 133,경기도 구리시 갈매동 575번지,37.63163747,127.1201526,652,198,Y,031-570-2892,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2022-06-07
산마루초등학교 운동장,지진대피소,옥외대피장소,학교,경기도 구리시 갈매순환로 133,경기도 구리시 갈매동 575번지,37.63155184,127.1202125,2700,3272,Y,031-570-2800,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2022-06-07
삼보경로당,지진대피소,실내구호소,기타,경기도 구리시 건원대로 56,경기도 구리시 인창동 665-1번지 삼보아파트,37.60780939,127.1404976,476,50,Y,031-557-8947,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2022-06-07
수택초등학교,지진대피소,옥외대피장소,학교,경기도 구리시 검배로136번길 41,경기도 구리시 토평동 1007번지,37.59195882,127.1525368,4431,50,Y,031-564-4160,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2022-06-07
아름마을공원,지진대피소,옥외대피장소,공원,경기도 구리시 동구릉로53번길 147,경기도 구리시 인창동 651-2번지,37.61044341,127.13036,4650,5636,Y,031-550-2440,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2022-06-07
이문안호수공원,지진대피소,옥외대피장소,공원,경기도 구리시 교문동 129-5,경기도 구리시 교문동 129-5,37.59465948,127.1319137,12406,15037,Y,031-550-2440,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2022-06-07
인창중앙공원,지진대피소,옥외대피장소,공원,경기도 구리시 동구릉로66번길 29,경기도 구리시 인창동 309-2번지,37.60589942,127.1361323,5800,7030,Y,031-550-2440,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2022-06-07
인창초등학교,지진대피소,옥외대피장소,학교,경기도 구리시 동구릉로 37-13,경기도 구리시 인창동 546-63번지,37.60444952,127.1314952,3424,850,Y,031-551-0358,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2022-06-07
장자호수공원,지진대피소,옥외대피장소,공원,경기도 구리시 장자호수길 105,경기도 구리시 수택동 878번지,37.58605828,127.1410715,52700,63878,Y,031-550-2440,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2022-06-07
토평공원,지진대피소,옥외대피장소,공원,경기도 구리시 벌말로 130-29,경기도 구리시 토평동 990-1번지,37.58941182,127.1500237,8400,10181,Y,031-550-2440,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2022-06-07
관모초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 군포시 곡란로8번길 35-22,경기도 군포시 산본동 1054번지,37.37620221,126.938009,3676,4455,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,관모초등학교,031-397-0236,2022-04-20
군포국민체육센터 운동장,지진대피소,옥외대피장소,운동장,경기도 군포시 군포로 339,경기도 군포시 부곡동 1226번지,37.33876324,126.9364804,11393,13809,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,군포시시설관리공단,031-390-7620,2022-04-20
군포대야초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 군포시 대야2로 148,경기도 군포시 대야미동 220-4번지,37.32937847,126.9152047,2087,2529,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,대야초등학교,031-501-3796,2022-04-20
군포중학교 운동장,지진대피소,옥외대피장소,운동장,경기도 군포시 금당로124번길 19,경기도 군포시 당동 735번지,37.35790182,126.944915,6089,7380,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,군포중학교,031-452-0438,2022-04-20
군포초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 군포시 군포로 463,경기도 군포시 당동 795-4번지,37.348226,126.9419284,7643,9264,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,군포초등학교,031-398-4239,2022-04-20
궁내근린공원,지진대피소,옥외대피장소,공원,,경기도 군포시 산본동 1119-5,37.365133,126.921784,1870,2266,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,군포시,031-390-0409,2022-04-20
궁내초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 군포시 수리산로 187,경기도 군포시 산본동 1149-3번지,37.36461098,126.920132,3349,4059,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,궁내초등학교,031-396-0074,2022-04-20
금정제일공원,지진대피소,옥외대피장소,공원,,경기도 군포시 금정동 755,37.36060696,126.9449043,5062,6135,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,군포시,031-390-0409,2022-04-20
금정초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 군포시 금정로 40,경기도 군포시 금정동 703번지,37.36646403,126.941225,4500,5454,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,금정초등학교,031-452-9975,2022-04-20
능안공원,지진대피소,옥외대피장소,공원,경기도 군포시 고산로677번길 17,경기도 군포시 산본동 1065번지,37.37182132,126.9327213,4160,5042,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,군포시,031-390-0409,2022-04-20
당동초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 군포시 용호1로 34,경기도 군포시 당동 967번지,37.34593756,126.939499,3942,4777,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,당동초등학교,031-399-8052,2022-04-20
당정근린공원,지진대피소,옥외대피장소,공원,,경기도 군포시 당정동 762-2,37.344257,126.947024,11287,13681,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,군포시,031-390-0409,2022-04-20
당정초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 군포시 고산로151번길 26-24,경기도 군포시 당정동 972-1번지,37.34657104,126.9547107,2699,3271,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,당정초등학교,031-455-5634,2022-04-20
도장근린공원,지진대피소,옥외대피장소,공원,경기도 군포시 번영로 419,경기도 군포시 산본동 1231번지,37.352946,126.926271,2098,2543,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,군포시,031-390-0409,2022-04-20
도장초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 군포시 번영로 371,경기도 군포시 산본동 1155-5번지,37.34864542,126.9236158,2137,2589,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,도장초등학교,031-391-2253,2022-04-20
둔대초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 군포시 호수로 305-14,경기도 군포시 둔대동 219번지,37.32663436,126.910967,2487,3014,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,둔대초등학교,031-437-6406,2022-04-20
부곡중앙중학교 운동장,지진대피소,옥외대피장소,운동장,경기도 군포시 송부로 241,경기도 군포시 부곡동 1095번지,37.32360247,126.9383429,2273,2755,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,부곡중앙중학교,031-462-7671,2022-04-20
부곡중앙초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 군포시 송부로273번길 7,경기도 군포시 부곡동 1113번지,37.32314464,126.9411386,1577,1911,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,부곡중앙초등학교,031-462-0653,2022-04-20
산본중앙공원,지진대피소,옥외대피장소,공원,경기도 군포시 산본로 367,경기도 군포시 산본동 1122번지,37.362881,126.930757,16625,20151,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,2,,,군포시,031-390-0409,2022-04-20
산본초등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 군포시 산본로386번길 60,경기도 군포시 산본동 209번지,37.368754,126.934591,4196,5704,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,산본초등학교,031-394-6511,2022-04-20
슬기공원,지진대피소,옥외대피장소,공원,,경기도 군포시 산본동 1239,37.371092,126.936033,2341,2837,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,군포시,031-390-0409,2022-04-20
시민체육광장 운동장,지진대피소,옥외대피장소,운동장,경기도 군포시 산본로 267,경기도 군포시 금정동 871번지,37.35403568,126.9368152,17900,21696,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,2,,,군포시시설관리공단,031-390-7620,2022-04-20
용호고등학교 운동장,지진대피소,옥외대피장소,운동장,경기도 군포시 용호2로 10,경기도 군포시 당동 875번지,37.3418258,126.9393348,5651,6849,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,용호고등학교,031-390-4464,2022-04-20
재궁근린공원,지진대피소,옥외대피장소,공원,경기도 군포시 오금로134번안길 5,경기도 군포시 금정동 866-2번지,37.35906744,126.9411135,5800,7030,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,군포시,031-390-0409,2022-04-20
철쭉공원,지진대피소,옥외대피장소,공원,경기도 군포시 번영로 407,경기도 군포시 산본동 1153번지,37.353157,126.925725,18550,22484,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,군포시,031-390-0409,2022-04-20
초막골생태공원,지진대피소,옥외대피장소,공원,경기도 군포시 초막골길 216,경기도 군포시 산본동 856번지,37.35410097,126.9191417,9648,11694,Y,031-390-0409,,별도 지구지정사항 없음,,,,미적용,,,,1,,,군포시,031-390-4044,2022-04-20
